1,3215989
2,138311
3,197722
4,134859
5,135042
6,103608
7,97395
8,80545
9,73517
10,62743
11,57301
12,49106
13,44821
14,39541
15,35968
16,31890
17,29543
18,26144
19,23646
20,21118
21,19536
22,17560
23,16271
24,14770
25,13379
26,12253
27,11260
28,10460
29,9499
30,8693
31,8248
32,7561
33,7112
34,6509
35,6011
36,5640
37,5203
38,4804
39,4514
40,4130
41,3945
42,3683
43,3426
44,3211
45,3085
46,2945
47,2657
48,2656
49,2407
50,2184
51,2166
52,2069
53,2000
54,1863
55,1828
56,1704
57,1617
58,1539
59,1475
60,1413
61,1286
62,1338
63,1278
64,1148
65,1169
66,1109
67,1060
68,942
69,934
70,899
71,895
72,854
73,843
74,747
75,759
76,697
77,695
78,642
79,656
80,638
81,621
82,580
83,567
84,536
85,508
86,523
87,473
88,497
89,477
90,433
91,468
92,432
93,403
94,383
95,402
96,352
97,355
98,352
99,334
100,321
101,340
102,309
103,319
104,287
105,258
106,261
107,259
108,268
109,248
110,272
111,238
112,204
113,251
114,235
115,201
116,229
117,201
118,209
119,157
120,202
121,191
122,154
123,164
124,164
125,162
126,161
127,175
128,159
129,138
130,134
131,154
132,138
133,134
134,130
135,114
136,135
137,117
138,152
139,98
140,116
141,143
142,110
143,94
144,110
145,92
146,123
147,93
148,106
149,86
150,104
151,87
152,89
153,87
154,82
155,70
156,91
157,83
158,73
159,79
160,85
161,74
162,77
163,66
164,67
165,78
166,57
167,71
168,61
169,65
170,64
171,58
172,65
173,66
174,55
175,51
176,53
177,46
178,60
179,45
180,52
181,56
182,41
183,43
184,62
185,44
186,30
187,49
188,44
189,47
190,54
191,39
192,39
193,39
194,41
195,42
196,40
197,36
198,37
199,41
200,38
201,39
202,29
203,26
204,46
205,42
206,36
207,27
208,34
209,33
210,30
211,27
212,29
213,21
214,34
215,33
216,26
217,22
218,31
219,25
220,37
221,40
222,27
223,16
224,23
225,37
226,17
227,31
228,17
229,25
230,20
231,23
232,18
233,16
234,17
235,20
236,18
237,24
238,15
239,13
240,11
241,18
242,22
243,19
244,8
245,11
246,23
247,27
248,19
249,15
250,20
251,12
252,16
253,21
254,20
255,16
256,12
257,18
258,19
259,17
260,22
261,16
262,14
263,7
264,15
265,16
266,14
267,10
268,15
269,17
270,15
271,17
272,17
273,16
274,14
275,11
276,12
277,18
278,23
279,13
280,11
281,11
282,17
283,10
284,10
285,8
286,8
287,13
288,10
289,10
290,6
291,13
292,9
293,7
294,12
295,12
296,8
297,9
298,8
299,7
300,7
301,10
302,9
303,8
304,7
305,3
306,9
307,13
308,10
309,9
310,8
311,13
312,15
313,8
314,11
315,9
316,9
317,6
318,8
319,9
320,11
321,11
322,4
323,3
324,14
325,8
326,3
327,13
328,6
329,12
330,5
331,6
332,8
333,6
334,5
335,4
336,4
337,2
338,9
339,7
340,6
341,9
342,6
343,6
344,6
345,4
346,10
347,8
348,11
349,8
350,2
351,4
352,1
353,8
354,3
355,7
356,7
357,5
358,5
359,6
360,1
361,5
362,9
363,10
364,3
365,3
366,6
367,3
368,5
369,5
370,5
371,3
372,5
373,4
374,5
375,3
376,4
377,2
378,4
379,4
380,6
381,3
382,2
383,6
384,3
385,3
386,5
387,1
388,3
389,4
390,4
391,7
392,5
393,1
394,1
395,2
396,5
397,9
398,5
399,4
401,2
402,1
403,4
404,1
405,2
406,2
407,4
408,1
409,4
410,5
411,4
412,4
413,3
414,2
415,1
416,2
417,1
418,3
419,2
420,1
421,3
422,1
423,3
424,5
425,2
426,1
428,4
430,4
431,4
432,2
433,2
434,2
435,1
436,3
437,3
438,2
440,4
441,3
442,1
443,3
444,2
445,1
446,2
447,2
448,3
449,1
450,1
451,6
452,2
454,2
455,2
456,1
458,2
459,3
460,1
461,1
463,1
464,3
465,2
467,3
469,1
470,1
471,2
473,5
474,3
475,1
477,1
478,2
480,5
481,2
482,3
483,3
484,2
485,3
486,3
487,1
488,3
489,2
490,1
491,1
492,5
493,1
494,3
495,2
496,1
498,3
499,1
500,1
502,3
503,5
505,2
506,3
509,2
511,1
512,1
513,1
514,1
515,2
516,1
517,1
519,1
520,2
521,1
522,4
523,2
524,2
525,3
527,1
528,2
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,1
538,1
539,1
543,3
544,2
545,1
546,1
547,1
550,1
551,1
553,2
554,2
555,1
556,2
557,1
558,1
559,3
561,1
562,1
565,1
567,2
570,1
573,2
574,1
575,1
576,1
577,1
580,2
581,2
582,1
583,1
584,2
586,1
587,1
588,1
589,1
593,4
594,3
595,1
596,1
597,1
600,1
603,1
605,2
609,1
610,1
611,1
613,1
615,2
616,1
617,2
618,2
620,1
621,2
622,1
624,1
626,2
627,1
630,1
633,2
634,1
636,1
638,2
639,1
641,1
642,1
643,1
644,2
646,1
647,1
650,2
652,1
653,1
655,1
657,2
660,3
664,1
665,1
666,2
673,1
674,2
675,2
679,1
680,1
683,2
690,1
692,2
693,1
695,1
696,1
697,1
700,2
701,1
704,1
706,1
707,1
711,2
713,2
718,1
720,1
722,1
723,1
724,1
730,1
733,1
734,1
740,1
741,1
742,1
743,1
745,1
748,1
751,1
752,1
757,1
767,1
769,2
770,2
782,1
784,1
786,2
789,1
790,1
795,1
801,1
809,1
821,1
827,1
830,1
839,1
852,1
858,1
860,1
869,1
899,1
918,1
933,1
935,1
975,1
982,1
990,1
997,2
1019,1
1043,1
1064,1
1113,1
1133,1
1157,1
